
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,92,bom,35.0,bom,0,156,baixo,32.00954,21.7,2026-05-16 12:09:41,0,
bom,122,bom,35.0,bom,0,146,baixo,32.95908,21.8,2026-05-16 12:10:11,0,
bom,140,bom,35.0,bom,0,143,baixo,29.85102,21.7,2026-05-16 12:10:41,0,
bom,124,bom,35.0,bom,0,146,baixo,31.52888,21.7,2026-05-16 12:11:11,0,
bom,111,bom,35.0,bom,0,135,baixo,32.71225,21.7,2026-05-16 12:11:41,0,
bom,117,bom,35.0,bom,0,146,moderado,46.49409,21.7,2026-05-16 12:12:11,0,
bom,125,bom,35.0,bom,0,155,baixo,34.74953,21.7,2026-05-16 12:12:41,0,
bom,133,bom,35.0,bom,0,145,baixo,34.44133,21.8,2026-05-16 12:13:11,0,
bom,123,bom,35.0,bom,0,143,baixo,31.6346,21.8,2026-05-16 12:13:41,0,
bom,106,bom,35.0,bom,0,143,baixo,32.33462,21.8,2026-05-16 12:14:11,0,
bom,153,bom,35.0,bom,0,153,baixo,31.46761,21.8,2026-05-16 12:14:41,0,
bom,155,bom,35.0,bom,0,142,baixo,33.26509,21.8,2026-05-16 12:15:11,0,
bom,135,bom,35.0,bom,0,147,baixo,33.3951,21.8,2026-05-16 12:15:41,0,
bom,152,bom,35.0,bom,0,69,baixo,31.88988,21.9,2026-05-16 12:16:11,0,
bom,125,bom,35.0,bom,0,139,baixo,33.80014,21.8,2026-05-16 12:16:41,0,
bom,125,bom,35.0,bom,0,147,baixo,30.83584,21.8,2026-05-16 12:17:11,0,
bom,111,bom,35.0,bom,0,143,baixo,33.09668,21.8,2026-05-16 12:17:41,0,
bom,79,bom,35.0,bom,0,127,moderado,35.78704,21.8,2026-05-16 12:18:12,0,
bom,143,bom,35.0,bom,0,145,moderado,40.86207,21.8,2026-05-16 12:18:42,0,
bom,135,bom,35.0,bom,0,143,baixo,31.78309,21.9,2026-05-16 12:19:12,0,
bom,149,bom,35.0,bom,0,155,moderado,37.20231,21.8,2026-05-16 12:19:42,0,
bom,123,bom,35.0,bom,0,153,baixo,34.39291,21.8,2026-05-16 12:20:12,0,
bom,116,bom,35.0,bom,0,153,baixo,31.44679,21.8,2026-05-16 12:20:42,0,
bom,104,bom,35.0,bom,0,0,moderado,35.92965,21.9,2026-05-16 12:21:12,0,
bom,125,bom,35.0,bom,0,145,baixo,30.00385,21.9,2026-05-16 12:21:42,0,
bom,138,bom,35.0,bom,0,163,moderado,37.39673,21.9,2026-05-16 12:22:12,0,
bom,124,bom,35.0,bom,0,150,baixo,34.42731,21.9,2026-05-16 12:22:42,0,
bom,121,bom,35.0,bom,0,156,baixo,31.34853,21.9,2026-05-16 12:23:12,0,
bom,91,bom,35.0,bom,0,148,baixo,31.91083,22.0,2026-05-16 12:23:42,0,
bom,125,bom,35.0,bom,0,142,baixo,30.84511,22.0,2026-05-16 12:24:12,0,
bom,127,bom,35.0,bom,0,175,baixo,33.41111,22.0,2026-05-16 12:24:42,0,
bom,146,bom,35.0,bom,0,150,baixo,33.96677,22.0,2026-05-16 12:25:12,0,
bom,118,bom,35.0,bom,0,141,baixo,32.55431,22.0,2026-05-16 12:25:42,0,
bom,110,bom,35.0,bom,0,141,baixo,31.60563,22.0,2026-05-16 12:26:12,0,
bom,127,bom,35.0,bom,0,150,baixo,30.9577,22.0,2026-05-16 12:26:42,0,
bom,182,bom,35.0,bom,0,146,baixo,31.39717,22.0,2026-05-16 12:27:12,0,
bom,107,bom,35.0,bom,0,137,moderado,35.68205,21.9,2026-05-16 12:27:42,0,
bom,125,bom,35.0,bom,0,147,baixo,31.69041,22.0,2026-05-16 12:28:12,0,
bom,147,bom,35.0,bom,0,151,baixo,33.90406,22.0,2026-05-16 12:28:42,0,
bom,149,bom,35.0,bom,0,157,baixo,30.86004,22.0,2026-05-16 12:29:12,0,
bom,123,bom,35.0,bom,0,154,baixo,32.04657,22.0,2026-05-16 12:29:42,0,
bom,122,bom,35.0,bom,0,153,baixo,33.55664,22.0,2026-05-16 12:30:12,0,
bom,53,bom,35.0,bom,0,147,baixo,34.91825,22.0,2026-05-16 12:30:42,0,
